Subject 32139: V: 100 | C: 98.39 | Overall score: 99.19

Subject 76386: V: 100 | C: 98.37 | Overall score: 99.19

Subject 93517: V: 100 | C: 98.35 | Overall score: 99.17

Subject 16081: V: 100 | C: 98.32 | Overall score: 99.16

Subject 25188: V: 100 | C: 98.33 | Overall score: 99.16

Subject 26498: V: 100 | C: 98.3 | Overall score: 99.15

Subject 96104: V: 100 | C: 98.29 | Overall score: 99.15

Subject 67477: V: 100 | C: 98.28 | Overall score: 99.14

Subject 22863: V: 100 | C: 98.27 | Overall score: 99.13

Subject 29723: V: 100 | C: 98.26 | Overall score: 99.13

Subject 12572: V: 100 | C: 98.23 | Overall score: 99.12

Subject 14947: V: 100 | C: 98.25 | Overall score: 99.12

Subject 20585: V: 100 | C: 98.25 | Overall score: 99.12

Subject 21309: V: 100 | C: 98.25 | Overall score: 99.12

Subject 40265: V: 100 | C: 98.24 | Overall score: 99.12

Subject 62858: V: 100 | C: 98.23 | Overall score: 99.12

Subject 18984: V: 100 | C: 98.2 | Overall score: 99.10

Subject 29497: V: 100 | C: 98.21 | Overall score: 99.10

Subject 56788: V: 100 | C: 98.2 | Overall score: 99.10

Subject 8557: V: 100 | C: 98.2 | Overall score: 99.10

Subject 17018: V: 100 | C: 98.18 | Overall score: 99.09

Subject 32410: V: 100 | C: 98.15 | Overall score: 99.08

Subject 5598: V: 100 | C: 98.14 | Overall score: 99.07

Subject 68389: V: 100 | C: 98.14 | Overall score: 99.07

Subject 15952: V: 100 | C: 98.11 | Overall score: 99.06

Subject 61738: V: 100 | C: 98.11 | Overall score: 99.06

Subject 90798: V: 100 | C: 98.13 | Overall score: 99.06

Subject 29156: V: 100 | C: 98.09 | Overall score: 99.05

Subject 48732: V: 100 | C: 98.1 | Overall score: 99.05

Subject 28925: V: 100 | C: 98.08 | Overall score: 99.04

Subject 20920: V: 100 | C: 98.07 | Overall score: 99.03

Subject 98276: V: 100 | C: 98.05 | Overall score: 99.03

Subject 14021: V: 100 | C: 98.03 | Overall score: 99.02

Subject 14256: V: 100 | C: 98.03 | Overall score: 99.02

Subject 17089: V: 100 | C: 98.03 | Overall score: 99.02

Subject 27427: V: 100 | C: 98.04 | Overall score: 99.02

Subject 68589: V: 100 | C: 98.04 | Overall score: 99.02

Subject 7391: V: 100 | C: 98.04 | Overall score: 99.02

Subject 8312: V: 100 | C: 98.04 | Overall score: 99.02

Subject 11569: V: 100 | C: 98.02 | Overall score: 99.01

Subject 43126: V: 100 | C: 98.01 | Overall score: 99.00

Subject 59437: V: 100 | C: 97.99 | Overall score: 99.00

Subject 82405: V: 100 | C: 97.99 | Overall score: 99.00

Subject 86087: V: 100 | C: 98.01 | Overall score: 99.00

Subject 90391: V: 100 | C: 98.0 | Overall score: 99.00

Subject 99461: V: 100 | C: 97.98 | Overall score: 98.99

Subject 27721: V: 100 | C: 97.96 | Overall score: 98.98

Subject 68319: V: 100 | C: 97.97 | Overall score: 98.98

Subject 70330: V: 100 | C: 97.96 | Overall score: 98.98

Subject 15769: V: 100 | C: 97.93 | Overall score: 98.97

Subject 42885: V: 100 | C: 97.94 | Overall score: 98.97

Subject 510: V: 100 | C: 97.94 | Overall score: 98.97

Subject 5701: V: 100 | C: 97.93 | Overall score: 98.97

Subject 71277: V: 100 | C: 97.93 | Overall score: 98.97

