Subject No 10248Individual Scores: V 100 | C 97.96Overall score: 98.98

Subject No 10502Individual Scores: V 100 | C 97.8Overall score: 98.90

Subject No 9575Individual Scores: V 100 | C 97.79Overall score: 98.90

Subject No 21769Individual Scores: V 100 | C 97.75Overall score: 98.88

Subject No 22588Individual Scores: V 100 | C 97.58Overall score: 98.79

Subject No 13306Individual Scores: V 100 | C 97.56Overall score: 98.78

Subject No 13181Individual Scores: V 100 | C 97.53Overall score: 98.77

Subject No 16373Individual Scores: V 100 | C 97.47Overall score: 98.73

Subject No 22545Individual Scores: V 100 | C 97.36Overall score: 98.68

Subject No 23666Individual Scores: V 100 | C 97.24Overall score: 98.62

Subject No 5242Individual Scores: V 100 | C 97.23Overall score: 98.62

Subject No 20263Individual Scores: V 100 | C 97.18Overall score: 98.59

Subject No 22423Individual Scores: V 100 | C 97.15Overall score: 98.58

Subject No 15726Individual Scores: V 100 | C 97.07Overall score: 98.53

Subject No 2092Individual Scores: V 100 | C 97.02Overall score: 98.51

Subject No 22503Individual Scores: V 100 | C 96.96Overall score: 98.48

Subject No 16738Individual Scores: V 100 | C 96.94Overall score: 98.47

Subject No 3987Individual Scores: V 100 | C 96.73Overall score: 98.37

Subject No 11861Individual Scores: V 100 | C 96.72Overall score: 98.36

Subject No 6700Individual Scores: V 100 | C 96.67Overall score: 98.34

Subject No 5679Individual Scores: V 100 | C 96.65Overall score: 98.33

Subject No 15644Individual Scores: V 100 | C 96.58Overall score: 98.29

Subject No 9518Individual Scores: V 100 | C 96.51Overall score: 98.25

Subject No 21613Individual Scores: V 100 | C 96.44Overall score: 98.22

Subject No 17539Individual Scores: V 100 | C 96.35Overall score: 98.17

Subject No 5348Individual Scores: V 100 | C 96.35Overall score: 98.17

Subject No 3242Individual Scores: V 100 | C 96.33Overall score: 98.16

Subject No 8780Individual Scores: V 100 | C 96.29Overall score: 98.15

Subject No 19627Individual Scores: V 100 | C 96.27Overall score: 98.13

Subject No 12659Individual Scores: V 100 | C 96.19Overall score: 98.09

Subject No 2974Individual Scores: V 100 | C 96.17Overall score: 98.09

Subject No 9706Individual Scores: V 100 | C 96.19Overall score: 98.09

Subject No 12599Individual Scores: V 100 | C 96.08Overall score: 98.04

Subject No 16605Individual Scores: V 100 | C 96.01Overall score: 98.00

Subject No 3084Individual Scores: V 100 | C 95.95Overall score: 97.97

Subject No 8273Individual Scores: V 100 | C 95.92Overall score: 97.96

Subject No 18848Individual Scores: V 100 | C 95.88Overall score: 97.94

Subject No 24317Individual Scores: V 100 | C 95.78Overall score: 97.89

Subject No 23946Individual Scores: V 100 | C 95.72Overall score: 97.86

Subject No 4958Individual Scores: V 100 | C 95.72Overall score: 97.86

Subject No 14131Individual Scores: V 100 | C 95.58Overall score: 97.79

Subject No 1872Individual Scores: V 100 | C 95.55Overall score: 97.78

Subject No 18902Individual Scores: V 100 | C 95.31Overall score: 97.66

Subject No 22914Individual Scores: V 100 | C 95.26Overall score: 97.63

Subject No 18187Individual Scores: V 100 | C 95.25Overall score: 97.62

Subject No 11554Individual Scores: V 100 | C 95.22Overall score: 97.61

Subject No 21139Individual Scores: V 100 | C 95.17Overall score: 97.59

Subject No 23503Individual Scores: V 100 | C 95.17Overall score: 97.59

Subject No 3482Individual Scores: V 100 | C 94.97Overall score: 97.48

Subject No 24810Individual Scores: V 100 | C 94.93Overall score: 97.47

Subject No 12312Individual Scores: V 100 | C 94.9Overall score: 97.45

Subject No 20240Individual Scores: V 100 | C 94.88Overall score: 97.44

Subject No 24402Individual Scores: V 100 | C 94.82Overall score: 97.41

Subject No 21090Individual Scores: V 100 | C 94.78Overall score: 97.39

Subject No 16776Individual Scores: V 100 | C 94.75Overall score: 97.38

Subject No 4962Individual Scores: V 100 | C 94.76Overall score: 97.38

Subject No 14256Individual Scores: V 100 | C 94.74Overall score: 97.37

Subject No 17906Individual Scores: V 100 | C 94.74Overall score: 97.37

Subject No 18756Individual Scores: V 100 | C 94.74Overall score: 97.37

Subject No 4954Individual Scores: V 100 | C 94.68Overall score: 97.34

Subject No 9385Individual Scores: V 100 | C 94.69Overall score: 97.34

Subject No 5897Individual Scores: V 100 | C 94.64Overall score: 97.32

Subject No 7632Individual Scores: V 100 | C 94.64Overall score: 97.32

Subject No 5727Individual Scores: V 100 | C 94.59Overall score: 97.30

Subject No 9311Individual Scores: V 100 | C 94.56Overall score: 97.28

Subject No 8501Individual Scores: V 100 | C 94.52Overall score: 97.26

Subject No 6262Individual Scores: V 100 | C 94.47Overall score: 97.23

Subject No 16856Individual Scores: V 100 | C 94.44Overall score: 97.22

Subject No 1819Individual Scores: V 100 | C 94.44Overall score: 97.22

Subject No 20410Individual Scores: V 100 | C 94.44Overall score: 97.22

Subject No 6317Individual Scores: V 100 | C 94.44Overall score: 97.22

Subject No 6901Individual Scores: V 100 | C 94.44Overall score: 97.22

Subject No 7216Individual Scores: V 100 | C 94.44Overall score: 97.22

Subject No 18996Individual Scores: V 100 | C 94.37Overall score: 97.19

Subject No 2598Individual Scores: V 100 | C 94.39Overall score: 97.19

Subject No 8735Individual Scores: V 100 | C 94.38Overall score: 97.19

Subject No 19067Individual Scores: V 100 | C 94.32Overall score: 97.16

Subject No 7629Individual Scores: V 100 | C 94.32Overall score: 97.16

Subject No 15361Individual Scores: V 100 | C 94.3Overall score: 97.15

Subject No 13401Individual Scores: V 100 | C 94.28Overall score: 97.14

Subject No 14279Individual Scores: V 100 | C 94.26Overall score: 97.13

Subject No 17721Individual Scores: V 100 | C 94.12Overall score: 97.06

Subject No 12113Individual Scores: V 100 | C 94.06Overall score: 97.03

Subject No 16053Individual Scores: V 100 | C 94.07Overall score: 97.03

Subject No 14297Individual Scores: V 100 | C 93.89Overall score: 96.94

Subject No 5771Individual Scores: V 100 | C 93.86Overall score: 96.93

Subject No 5495Individual Scores: V 100 | C 93.78Overall score: 96.89

Subject No 9356Individual Scores: V 100 | C 93.75Overall score: 96.88

Subject No 15122Individual Scores: V 100 | C 93.71Overall score: 96.85

Subject No 2298Individual Scores: V 100 | C 93.71Overall score: 96.85

Subject No 15041Individual Scores: V 100 | C 93.69Overall score: 96.84

Subject No 23161Individual Scores: V 100 | C 93.69Overall score: 96.84

Subject No 18982Individual Scores: V 100 | C 93.64Overall score: 96.82

Subject No 22782Individual Scores: V 100 | C 93.64Overall score: 96.82

Subject No 5196Individual Scores: V 100 | C 93.64Overall score: 96.82

Subject No 5913Individual Scores: V 100 | C 93.64Overall score: 96.82

Subject No 11234Individual Scores: V 100 | C 93.61Overall score: 96.81

Subject No 20598Individual Scores: V 100 | C 93.52Overall score: 96.76

Subject No 3722Individual Scores: V 100 | C 93.5Overall score: 96.75

Subject No 5761Individual Scores: V 100 | C 93.5Overall score: 96.75

Subject No 10302Individual Scores: V 100 | C 93.44Overall score: 96.72

Subject No 9498Individual Scores: V 100 | C 93.44Overall score: 96.72

Subject No 7533Individual Scores: V 100 | C 93.42Overall score: 96.71

Subject No 19569Individual Scores: V 100 | C 93.37Overall score: 96.69

Subject No 5453Individual Scores: V 100 | C 93.39Overall score: 96.69

Subject No 5199Individual Scores: V 100 | C 93.32Overall score: 96.66

Subject No 1535Individual Scores: V 100 | C 93.24Overall score: 96.62

Subject No 10425Individual Scores: V 100 | C 93.21Overall score: 96.60

Subject No 23792Individual Scores: V 100 | C 93.19Overall score: 96.59

Subject No 22792Individual Scores: V 100 | C 93.16Overall score: 96.58

Subject No 24692Individual Scores: V 100 | C 93.16Overall score: 96.58

Subject No 8799Individual Scores: V 100 | C 93.15Overall score: 96.58

Subject No 11993Individual Scores: V 100 | C 93.06Overall score: 96.53

Subject No 23264Individual Scores: V 100 | C 93.06Overall score: 96.53

Subject No 23368Individual Scores: V 100 | C 93.06Overall score: 96.53

Subject No 5525Individual Scores: V 100 | C 93.06Overall score: 96.53

Subject No 5820Individual Scores: V 100 | C 93.06Overall score: 96.53

Subject No 16975Individual Scores: V 100 | C 93.04Overall score: 96.52

Subject No 16934Individual Scores: V 100 | C 93.01Overall score: 96.50

Subject No 3977Individual Scores: V 100 | C 92.96Overall score: 96.48

Subject No 9481Individual Scores: V 100 | C 92.96Overall score: 96.48

Subject No 17149Individual Scores: V 100 | C 92.93Overall score: 96.47

